tweet_id,username,text,created_at,location,source,url
1554517205223604224,Prince6Ivy,Mitaka is already an S tier character,2022-08-02 17:19:17+00:00,he/him 17 bi,Twitter for iPhone,https://twitter.com/Prince6Ivy/status/1554517205223604224
1554517644518100992,heedowlw,"mitaka and yoru's duo, im gonna get so attached to them https://t.co/a887sHMU8O",2022-08-02 17:21:02+00:00,she they filo ,Twitter for Android,https://twitter.com/heedowlw/status/1554517644518100992
1554518127010095104,DropIntoManga,Just played with a Riichi City player whose Discord avatar is Mitaka/War Devil. Chainsaw Man lovers on mahjong platforms unite.,2022-08-02 17:22:57+00:00,New York,Twitter Web App,https://twitter.com/DropIntoManga/status/1554518127010095104
1554518499816800256,stsgou,omfg AAAAAAAAA what keeps me going is knowing that shoko ieiri and asa mitaka are both intps HSHASBBDHF A WIN FOR ME IG &gt;///////&lt;,2022-08-02 17:24:26+00:00,,Twitter for Android,https://twitter.com/stsgou/status/1554518499816800256
1554518949261221888,heedowlw,mitaka probably wont even notice that she'll be attached to yoru https://t.co/5tqloXJYew,2022-08-02 17:26:13+00:00,she they filo ,Twitter for Android,https://twitter.com/heedowlw/status/1554518949261221888
1554523375866769408,ocampolakan,loving the mitaka and yoru duo &lt;333,2022-08-02 17:43:49+00:00,,Twitter Web App,https://twitter.com/ocampolakan/status/1554523375866769408
1554526165913800705,Qweken8,"Seems like Ms. Megaman (Yoru) Is the weakest horseman. base Yoru is below kobeni considering she can't handel a man bat. Likely she'll get busted once mitaka starts smoking niggas. 
#chainsawman #chainsawman101 https://t.co/RutG53sqGi",2022-08-02 17:54:54+00:00,in the void,Twitter Web App,https://twitter.com/Qweken8/status/1554526165913800705
1554528996603400195,BlueTempest_,"Streaming the new #ChainsawMan chapter TONIGHT at 8PM ET! Be there or be square!
•
⤵️
https://t.co/blFvsFOlef
•
#csm #manga #shonenjump #sj #denji #asamitaka #mitaka #chainsawman101 #csm101 #vizmedia #viz #mangareader #otaku #chainsawmanpart2 #tatsukifujimoto https://t.co/4Xy8rwg8rE",2022-08-02 18:06:09+00:00,,Twitter for iPhone,https://twitter.com/BlueTempest_/status/1554528996603400195
1554537081711755264,paglingas,Yep keep flooding me mitaka fas !!,2022-08-02 18:38:16+00:00,infp | 20,Twitter for Android,https://twitter.com/paglingas/status/1554537081711755264
1554537404974891009,Createmigraine,"I like the potential of a training arc, and Mitaka having limited control over when her body can be taken over like Yuji and Sukuna, so Yoru can't just start killing people left and right. Learning to control war could be an interesting twist. https://t.co/QDyYN0ekKz",2022-08-02 18:39:33+00:00,,Twitter Web App,https://twitter.com/Createmigraine/status/1554537404974891009
1554537484662751232,BVeganTravels,"For #HotVlogSummer day 2, we're going on a food adventure around #Tokyo.

#Japan #Mitaka #Shinjuku #Vegan #PlantBased #Vlog #Summer2022 #Foodie #YouTube 

https://t.co/2m4xmqXduI @YouTube https://t.co/qT8oXl8CIg",2022-08-02 18:39:52+00:00,"Tokyo-to, Japan",Twitter Web App,https://twitter.com/BVeganTravels/status/1554537484662751232
1554545497297358848,iheihai,so the war devil got a name. good bc i was annoyed with everyone calling her mitaka,2022-08-02 19:11:43+00:00,26 • she/her,Twitter for iPhone,https://twitter.com/iheihai/status/1554545497297358848
1554553089256230912,lomlquanxi_,yoku is so in love with mitaka i just know it,2022-08-02 19:41:53+00:00,🇵🇭  •lesbian • she/they • 06,Twitter Web App,https://twitter.com/lomlquanxi_/status/1554553089256230912
1554568254785343488,Sharonnotamashi,"#chainsawman101 
Interesting how we got a proper name for the war devil, I like how both of their names show the light and darkness of this odd relationship. Hoping Yoru's plan for Yukon and eventually Denji changes as she keeps interacting with Mitaka but...yeah https://t.co/J4NE0rU6OK",2022-08-02 20:42:09+00:00,North Shirahebi Shrine 🐍,Twitter for Android,https://twitter.com/Sharonnotamashi/status/1554568254785343488
1554575159314395137,sleepyshaynoo,you either die a mitaka or live long enough to see yourself become yoru https://t.co/Nnm5ocg77u,2022-08-02 21:09:35+00:00,— she her 16ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,Twitter for Android,https://twitter.com/sleepyshaynoo/status/1554575159314395137
1554581940946206723,bololelo,ChainsawMan´s Thursday #chainsawman #mitaka_asa https://t.co/P4PhDKZcfT,2022-08-02 21:36:32+00:00,Ecuador,Twitter Web App,https://twitter.com/bololelo/status/1554581940946206723
